#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.74%;205.35;-7.97;(-3.74%);2025-05-03
2;Microsoft Corp;MSFT;6.65%;435.28;9.88;(2.32%);2025-05-03
3;Nvidia Corp;NVDA;5.75%;114.50;2.89;(2.59%);2025-05-03
4;Amazon.com Inc;AMZN;3.77%;189.98;-0.22;(-0.12%);2025-05-03
5;Meta Platforms, Inc. Class A;META;2.64%;597.02;24.81;(4.34%);2025-05-03
6;Berkshire Hathaway Class B;BRK.B;2.04%;539.80;9.57;(1.80%);2025-05-03
7;Alphabet Inc. Class A;GOOGL;1.98%;164.03;2.73;(1.69%);2025-05-03
8;Broadcom Inc.;AVGO;1.95%;203.64;6.31;(3.20%);2025-05-03
9;Tesla, Inc.;TSLA;1.65%;287.21;6.69;(2.38%);2025-05-03
10;Alphabet Inc. Class C;GOOG;1.62%;165.81;3.02;(1.86%);2025-05-03
11;Jpmorgan Chase & Co.;JPM;1.45%;252.51;5.62;(2.28%);2025-05-03
12;Eli Lilly & Co.;LLY;1.32%;823.62;29.52;(3.72%);2025-05-03
13;Visa Inc.;V;1.24%;347.60;5.15;(1.50%);2025-05-03
14;Netflix Inc;NFLX;1.02%;1,156.49;23.02;(2.03%);2025-05-03
15;Exxon Mobil Corporation;XOM;0.97%;106.21;0.43;(0.41%);2025-05-03
16;Mastercard Incorporated;MA;0.94%;559.39;12.76;(2.33%);2025-05-03
17;Costco Wholesale Corp;COST;0.93%;1,008.30;9.26;(0.93%);2025-05-03
18;Walmart Inc.;WMT;0.89%;98.75;1.34;(1.38%);2025-05-03
19;Procter & Gamble Company;PG;0.79%;160.52;0.54;(0.34%);2025-05-03
20;Johnson & Johnson;JNJ;0.78%;156.12;1.66;(1.07%);2025-05-03
21;Unitedhealth Group Incorporated;UNH;0.78%;399.92;-0.76;(-0.19%);2025-05-03
22;Home Depot, Inc.;HD;0.75%;364.52;6.22;(1.74%);2025-05-03
23;Abbvie Inc.;ABBV;0.72%;198.47;5.13;(2.65%);2025-05-03
24;Coca-Cola Company;KO;0.58%;71.65;0.36;(0.50%);2025-05-03
25;Bank of America Corporation;BAC;0.56%;41.07;0.90;(2.24%);2025-05-03
26;Philip Morris International Inc.;PM;0.56%;170.86;0.81;(0.48%);2025-05-03
27;Salesforce, Inc.;CRM;0.54%;275.08;5.75;(2.13%);2025-05-03
28;Palantir Technologies Inc. Class A;PLTR;0.50%;124.28;8.08;(6.95%);2025-05-03
29;Wells Fargo & Co.;WFC;0.50%;73.80;1.99;(2.77%);2025-05-03
